track_id,track_name,album_id,artist_ids,artist_names,valence,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,tempo
7gpuC3rLKkI7PoJcEnSIO6,I'm Movin' On,6RhvNGfuqrGZBNs5AChVO4,['0a1gHP0HAqALbEyxaD5Ngn'],['Rascal Flatts'],0.29,2000,0.879,0.489,242867,0.308,0,0.0,0,0.0959,-5.488,1,51,2000-01-01,0.0297,128.855
4WNtqQQ7K1Ys30l2JtKHDy,Boyz-n-the Hood,1urfIXd9TzPcltUQ9qIMqK,['6jddkwDLW1TOlqdjfK4ywk'],['Dynamite Hack'],0.378,2000,0.448,0.6829999999999999,184490,0.453,1,0.000283,9,0.284,-7.084,1,51,2000-05-23,0.0443,81.477
71rQncW9uGaAg4QplpEbeL,Raquenel Villanueva,51xW5j4hSfm3UiqsDy5l7h,['2L54fWLv9EgJu76ELlfV2J'],['Beto Quintanilla'],0.878,2000,0.205,0.76,195796,0.779,0,0.0,5,0.07,-4.456,1,53,2000,0.0523,109.544
6kD36kVRn5leDDbjXpHQY0,Just Be A Man About It,0UZsKcXzOehMvFWTiBlwMi,['3X458ddYA2YcVWuVIGGOYe'],['Toni Braxton'],0.56,2000,0.274,0.753,288933,0.45,0,2e-06,9,0.321,-6.909,1,52,2000,0.0924,109.405
4F55RCGuM477OjznpYGhYz,Shortie Like Mine (feat. Chris Brown & Johntá Austin),1dQGXePMNkrSavN2pxF48a,"['7352aRY2mqSxBZwzUb6LmA', '7bXgB6jMjp9ATFy66eO08Z', '0DRTDBGl9fBAzVdF1IFA75']","['Bow Wow', 'Chris Brown', 'Johnta Austin']",0.7090000000000001,2000,0.0891,0.763,267507,0.629,0,0.0,7,0.1689999999999999,-8.66,0,50,2000,0.225,142.149
0E2UdlzNQP9I70MYumYlFo,Frontier Psychiatrist,3GBnNRYsxBfEeMSMmTpJ25,['3C8RpaI3Go0yFF9whvKoED'],['The Avalanches'],0.4370000000000001,2000,0.122,0.711,288347,0.905,0,0.000166,6,0.395,-7.459,1,54,2000-01-01,0.218,98.931
6XJGpirOP4Bgurcvkdanxb,American Beauty,11y3Dzg44npGsTWKtmuzTW,['1csBgT42N4pPPs1HJhxXIK'],['Thomas Newman'],0.052,2000,0.98,0.206,186067,0.00664,0,0.958,7,0.0883,-31.964,0,60,2000-01-11,0.0366,77.018
0Qrb3L8JgreLBW8g4qyan9,Back to School (Mini Maggit),5LEXck3kfixFaA3CqVE7bC,['6Ghvu1VvMGScGpOUJBAHNH'],['Deftones'],0.256,2000,0.000386,0.3,237360,0.986,0,0.000136,8,0.0924,-3.022,1,58,2000-05-16,0.107,85.117
1KBuhAHzia2qoD4u6YhvER,Stiff Upper Lip,5JPVHEB67TREre4Q8JOfCQ,['711MCceyCBcFnzjGY4Q7Un'],['AC/DC'],0.706,2000,0.0344,0.588,214560,0.851,0,0.00773,7,0.16,-4.206,1,63,2000-02-25,0.033,123.691
51Vic2Yi71YKNtLbyJKgQt,I Disappear,412VzhW8RnyldxUxC5pb8G,['2ye2Wgw4gimLv2eAKyk1NB'],['Metallica'],0.447,2000,0.000206,0.534,266240,0.929,0,5.58e-05,1,0.036,-3.609,1,51,2000-04-19,0.047,122.733
7hzgk557YLr0722EFkmp9Z,Feel Like Makin' Love,2lO9yuuIDgBpSJzxTh3ai8,['336vr2M3Va0FjyvB55lJEd'],"[""D'Angelo""]",0.519,2000,0.0979,0.913,382333,0.201,0,0.487,0,0.0867,-9.511,1,58,2000-01-01,0.15,87.359
64VeKDD6z3P2UnDl8nphc4,Cien Por Uno,368bh2s0aVeChSmOHvmXxz,['014WIDx7H4BRCHB1faiisK'],['Los Tucanes De Tijuana'],0.967,2000,0.377,0.856,225133,0.664,0,0.0,10,0.102,-4.635,1,55,2000-11-14,0.0312,105.416
3TcoHf7nvC8RaDVdfIFjFR,I Could Not Ask for More,15s0UqAh203Hztsmta1CSn,['7qvsLYsYP0MHD7jkdv6DAG'],['Sara Evans'],0.387,2000,0.0234,0.584,287733,0.509,0,0.00017,8,0.0808,-10.338,1,51,2000-10-10,0.0279,138.02200000000002
572R9OVMyWKBeg1hOMgSsW,The Little Girl (feat. Alison Krauss & Dan Tyminski),3rCXsZQxeAyn3AhdhJLM2M,"['7mPcfx7PhnBh6n4HMCd61A', '5J6L7N6B4nI1M5cwa29mQG', '1eNxt1JI2Bgjl8bPDQ5sG8']","['John Michael Montgomery', 'Alison Krauss', 'Dan Tyminski']",0.218,2000,0.354,0.6579999999999999,232640,0.434,0,1.75e-05,1,0.112,-8.527000000000001,1,51,2000-09-26,0.025,83.921
6fA7akEuTUL3dW1V0GELaZ,Bent,2HqQR5SkxWX7uUWaxlLksn,['3Ngh2zDBRPEriyxQDAMKd1'],['Matchbox Twenty'],0.527,2000,0.0404,0.518,256133,0.83,0,3.85e-06,6,0.375,-6.814,0,55,2000-05-23,0.0386,95.468
5UJQ0Ht5Oh1O68pAXNbUk1,Everything,1VKNHcrUppE8i5oAhg4o6k,['5PokPZn11xzZXyXSfnvIM3'],['Lifehouse'],0.039,2000,0.0931,0.13,367160,0.365,0,0.0721,1,0.102,-8.392999999999999,0,53,2000,0.0313,181.345
0IZcLOevGQ6LYG9IV3w1gx,El Moreño,2Taq7gieTFp9rjORJkrLWp,['341CfLcUdaBGixB8IJjYwW'],['Lupillo Rivera'],0.809,2000,0.112,0.7659999999999999,174440,0.552,0,0.000192,5,0.126,-6.489,1,54,2000-01-01,0.0343,107.916
6eN4jSuT84yNZEZnrUMrVp,Tomorrow,5MgR5qQCxsusIOui4S2io5,['4iudEcmuPlYNdbP3e1bdn1'],['Silverchair'],0.519,2000,0.000412,0.312,267440,0.693,0,0.00018,2,0.105,-7.097,1,55,2000-11-10,0.0326,144.88299999999995
04ccQGJ1i8gL7JoeCPiJbv,Don't Happen Twice,7iDMtLZF5xX8Ijx3PossZk,['3grHWM9bx2E9vwJCdlRv9O'],['Kenny Chesney'],0.617,2000,0.00626,0.499,203067,0.708,0,1.15e-05,7,0.0423,-7.029,1,50,2000-09-25,0.0301,158.785
5CeL9C3bsoe4yzYS1Qz8cw,Girls & Boys,1bgkxe4t0HNeLn9rhrx79x,['7MhMgCo0Bl0Kukl93PZbYS'],['Blur'],0.901,2000,0.00971,0.693,259387,0.875,0,0.0,7,0.0601,-8.354,0,68,2000-10-23,0.0315,120.048
20oenBXlmwIfK0F3fQIjhM,Kim,6t7956yu5zYf5A829XRiHC,['7dGJo4pcD2V6oG8kP0tJRR'],['Eminem'],0.0778,2000,0.0216,0.5870000000000001,377893,0.923,1,0.0,4,0.481,-3.05,0,55,2000-05-23,0.441,142.075
4qzoHxgp42ylb18ga1SWTL,Parachutes,6ZG5lRT77aJ3btmArcykra,['4gzpq5DPGxSnKTe4SA8HAU'],['Coldplay'],0.375,2000,0.871,0.555,46200,0.0845,0,2.27e-06,4,0.138,-18.348,1,58,2000-07-10,0.0518,137.001
6q8fYYujrQxXckq1tTtqqi,Time's A Wastin,3cADvHRdKniF9ELCn1zbGH,['7IfculRW2WXyzNQ8djX8WX'],['Erykah Badu'],0.458,2000,0.201,0.6729999999999999,400840,0.326,0,0.00144,11,0.201,-10.684,0,54,2000-10-31,0.0878,75.387
0hZgBAj7W0EkRH16feKmUu,Te Soñé,0DtuRnKX8XgK2Os72ACGrY,['7sQ3Q6yYyg0SdpEezJN8UT'],['El Coyote Y Su Banda Tierra Santa'],0.922,2000,0.425,0.634,225573,0.449,0,0.0,0,0.0415,-10.364,1,57,2000-01-01,0.0353,146.10299999999995
4XDBEoD6QFnzDY5oMmNVXN,The Hollow,0GeWd0yUKXHbCXVag1mJvO,['4DFhHyjvGYa9wxdHUjtDkc'],['A Perfect Circle'],0.515,2000,0.000166,0.295,178960,0.789,0,0.0898,1,0.0986,-5.559,1,54,2000-01-01,0.0702,104.135
736y1ZQptSw5iaMkbmvu9X,Press Rewind,6DHCRrWGl9f57G4JBu4AVv,['0YsLR3SQd5QTXAhGIGX7cl'],['Del The Funky Homosapien'],0.6990000000000001,2000,0.233,0.825,277440,0.66,1,0.0,9,0.0919,-6.977,1,53,2000-01-01,0.327,93.914
1jxO9AwMqYynDsuMWKrPvi,La bikina - En vivo,2GtCBgC1SYeeb8fcxGWCLo,['2nszmSgqreHSdJA3zWPyrW'],['Luis Miguel'],0.6659999999999999,2000,0.161,0.389,179040,0.71,0,0.0,5,0.918,-6.265,1,67,2000-01-11,0.0351,160.39700000000005
6znv7i4Wif5fLwI6OjKHZ4,Back Here,1vaydA93AMLnjddGnQM15Q,['7y1GT7SdgGiFLWoktv2TSw'],['BBMAK'],0.914,2000,0.0698,0.624,218200,0.945,0,4.57e-06,7,0.0867,-3.109,1,50,2000-01-01,0.0343,104.77
02dphTJYUQ9pmdNC52iyOz,Fiesta Pagana,3Eubo97y5NcXWz7PsCzHIT,['5ZNxiPcbKgaNcBrERMpqeu'],['Mägo de Oz'],0.376,2000,0.0124,0.434,296751,0.897,0,4.22e-05,11,0.0772,-4.845,0,68,2000,0.0695,135.54
